,date,price_(close),price_(high),price_(low),price_(open),circulating_marketcap,circulating_supply,supply_pct
1749,2016-12-03,764.7209445496998,827.0138827454847,728.7327398299959,778.7204130789893,12460989121.953386,16025579.1091694,0.00013439886307042848
1748,2016-12-04,765.4077248157623,790.40159,749.3504764641234,763.5955722211748,12232196716.876188,16027433.23425344,0.00011569785225296059
1747,2016-12-05,751.2150711497266,789.417564022792,744.8416830444041,771.0257366468189,12337530872.298456,16029337.39661158,0.00011880644456985223
1746,2016-12-06,758.6055705202157,778.2625047118622,750.3380380669721,750.8525110389164,12217692226.322754,16031215.47297133,0.00011716494033908731
1745,2016-12-07,764.9623200675816,770.7448759917763,751.6882471926862,758.4703056570454,12217734709.784395,16033394.18861016,0.0001359045820639171
1744,2016-12-08,764.7731861978185,774.3269058262921,761.6961597963309,764.241104616198,12247747547.495913,16035359.54899456,0.00012257918449942729
1743,2016-12-09,775.1589480340286,775.6315355793329,764.7732510181921,765.3953858927824,12413630802.450283,16037050.70507767,0.00010546418232437738
1742,2016-12-10,772.8926255463648,778.6572958194276,766.7192655562002,772.4926444734307,12389037036.644514,16038703.988402,0.0001030914820145945
1741,2016-12-11,770.0034719505326,781.2907004308573,758.07,771.6466735444945,12438804417.037584,16041043.95652554,0.00014589508761009284
1740,2016-12-12,776.7236154117538,784.2775635003284,763.9649515492498,767.0162448918153,12290624374.645077,16042996.68910056,0.00012173350938460281
1739,2016-12-13,776.4312117766399,801.4574066677056,768.2499999999999,777.9486954002563,12498594273.213337,16045225.3922364,0.00013892062555576068
1738,2016-12-14,776.9620936264116,783.1336089933963,770.1866354012489,775.9731209904479,12451293680.715525,16046965.84181523,0.00010847149455872618
1737,2016-12-15,775.2620241878656,782.2589251658035,773.3379769502869,774.515862598585,12430150378.941502,16048556.20090761,9.910652942490827e-05
1736,2016-12-16,780.8919270968332,784.8159859953251,773.4818042596751,774.3702547817088,12430174678.077414,16050221.38047649,0.0001037588396135547
1735,2016-12-17,788.8100074192569,792.2584307787922,769.0099999999999,781.9843854342419,12552740483.499586,16052023.41300781,0.00011227462155205536
1734,2016-12-18,790.02848470566,792.1153324326656,768.01,787.5984199278403,12675337713.379524,16053789.06648992,0.00010999569566272349
1733,2016-12-19,789.3591925284464,796.7698861641205,780.4767631034916,790.1446122323616,12679976526.080858,16055679.99791363,0.00011778723489386245
1732,2016-12-20,798.4996240912728,802.2234437413863,784.4095283989425,791.0783754246359,12706776878.996046,16057408.67284814,0.00010766750051915963
1731,2016-12-21,828.8445688644019,831.1882447475714,795.0183235301314,800.0351391071571,12826833329.01865,16059400.47593258,0.0001240426226309932
1730,2016-12-22,859.814027023089,874.4509889661957,826.7560397127625,828.3266916264977,13274344903.308453,16061391.46952448,0.00012397683181797348
1729,2016-12-23,916.1376326909874,918.551215483735,855.4197398960055,859.7810104733766,13789803964.93738,16063294.87902822,0.0001185083812540455
1728,2016-12-24,896.7254002251663,918.4283787643506,882.0209643761596,914.5310027517896,14705972794.820242,16065009.82935954,0.00010676205250770288
1727,2016-12-25,896.5296657177175,898.2460963298909,853.01,894.9659039333142,14356569730.44218,16067073.94900699,0.000128485426985403
1726,2016-12-26,904.5330963330856,928.2120136123372,890.1074009777919,894.8751503678079,14383467294.17117,16068851.45637416,0.00011063043419179408
1725,2016-12-27,933.2108145213635,942.6809834810044,894.7721798476653,906.8976041545508,14574887555.89202,16070804.24762972,0.00012152649869623389
1724,2016-12-28,977.8476854144692,981.7764057381028,928.1352192841556,931.836110033084,14976527357.108175,16072857.3185061,0.00012775159505040712
1723,2016-12-29,971.935692910888,983.8040834356184,947.2844816259984,980.2367201049058,15757250198.177649,16074735.07922517,0.00011682805874890789
1722,2016-12-30,962.3039691241532,972.195421283602,929.6679472938268,971.8121218078056,15629171087.974367,16076699.29800234,0.00012219291748749583
1721,2016-12-31,968.2943480179564,971.4900510678204,945.7921046833962,960.7441217246889,15431770937.82417,16078552.22629105,0.00011525551696678349
1720,2017-01-01,998.717270176933,1005.7224979369216,958.6743328594966,967.6769632326842,15524684945.15636,16080503.83546672,0.00012137965833014519
1719,2017-01-02,1017.4946040559878,1034.4342957111903,994.2165531848736,996.7656790506712,16063469382.656649,16082493.94783827,0.00012375932942854106
1718,2017-01-03,1034.3423488813662,1038.0408415891427,1012.6397381158444,1016.8386431342104,16355729595.679794,16084546.77993746,0.00012764389067076998
1717,2017-01-04,1130.5897652565052,1143.3125591062026,1033.7420052423863,1034.714327611746,16661965942.139698,16086462.45319773,0.00011910023244543488
1716,2017-01-05,1004.5169986996434,1162.4538836372678,894.2176018526233,1131.7230990422804,18228664026.970512,16088215.03186218,0.00010894742517497669
1715,2017-01-06,896.2860134391162,1027.027737847687,877.683348323899,1004.7011290408234,16153608014.169603,16090230.5776572,0.00012528088361740686
1714,2017-01-07,907.025470314759,908.4810490078852,817.9062379686613,895.9702023868724,14403260670.49816,16091958.30869566,0.00010737764323032195
1713,2017-01-08,914.1718923837196,942.0070643066812,887.4900471166164,907.4063044443992,14574506194.08691,16094047.76476072,0.00012984473517607675
1712,2017-01-09,900.049629420046,917.552235684865,875.6919349058564,915.3644152133108,14642335981.201015,16095749.77194774,0.00010575382973243563
1711,2017-01-10,905.2882883625442,915.1009706949768,895.6013703466463,899.99412120833,14405360097.454872,16097752.81588344,0.0001244455191016236
1710,2017-01-11,778.5612549175238,922.629992162396,761.5708758957612,904.9878891302774,14568386383.915426,16099667.98188057,0.00011897101533575594
1709,2017-01-12,803.6708409510824,833.5531926199055,747.5167492952976,780.5395839643171,12465499583.492298,16101820.53817549,0.000133701905985939
1708,2017-01-13,826.2145323370211,831.395352032867,774.9966030215869,804.9560119165548,12936517235.035028,16103697.98139052,0.00011659819525244863
1707,2017-01-14,820.5477687748703,839.8850137553084,807.1270684242797,827.4318171399104,13307666750.529823,16105849.75707594,0.00013361997274818904
1706,2017-01-15,822.8627542900497,828.7,802.64,819.2413179149281,13148021605.166763,16107938.8799583,0.00012971205579770384
1705,2017-01-16,832.6790879514679,839.7837607425395,805.4381509025407,825.5311844196133,13210262724.02317,16110053.56659849,0.00013128226124714537
1704,2017-01-17,904.7150444661862,909.9098947418506,819.91,830.8121043359519,13410928873.48418,16112031.38431535,0.00012276915831987978
1703,2017-01-18,887.1033987979273,915.5329553765736,850.3051046102651,905.0217671353456,14580550397.667755,16113909.02414359,0.00011653650514031888
1702,2017-01-19,900.9557354044274,909.0534066960108,866.0770537778194,888.1362198889282,14277446711.95492,16116086.43560081,0.00013512621015521198
1701,2017-01-20,894.8918419343028,903.333589076156,881.8008207174039,901.8626353309122,14530443351.903616,16118451.43687236,0.000146747864687935
1700,2017-01-21,924.7550124188012,929.582136328489,891.4603000846396,895.5017944287702,14422177978.441914,16120715.83175583,0.00014048464223370694
1699,2017-01-22,925.5399644725452,945.27,892.6652470473449,923.9661123585046,14903731042.120771,16122892.42878234,0.0001350186337396586
1698,2017-01-23,911.6589825831747,930.1448143286405,910.9615851058444,924.5407881210876,14917064935.328287,16124619.69532708,0.00010713130738615462
1697,2017-01-24,885.7691597850551,924.944095325984,884.009056579777,912.2321864423994,14709221557.420732,16126485.33455472,0.00011570128554283521
1696,2017-01-25,893.9823678615888,903.5043465434017,885.701464768033,886.1406315697013,14320829238.73673,16128350.92535328,0.00011568489722679764
1695,2017-01-26,915.094545893696,920.8467460120764,893.4676233843954,894.2058476764201,14409307728.81493,16130291.45358257,0.00012031783275756602
1694,2017-01-27,919.5707821673602,925.498378952497,907.3031398542164,915.4724307170148,14779371616.966854,16132418.28571729,0.00013185329854947803
1693,2017-01-28,921.4524361362674,925.7966002736064,914.0265339346604,919.5568812206518,14826762660.981934,16134320.65257996,0.00011792198968429979
1692,2017-01-29,914.1768963252338,925.78916012942,911.0441880696832,920.5381830911306,14850924940.43817,16136410.60530481,0.00012953459707731874
1691,2017-01-30,919.444262874608,923.7883218734984,910.4531254940604,914.1096469384156,14759631736.18311,16138212.55572877,0.00011166984207555686
1690,2017-01-31,964.8480730036232,970.2793475980064,917.8555300877416,919.122123100894,14833182795.106678,16140027.54265808,0.00011246517686158697
1689,2017-02-01,987.489563769287,990.4695362407228,961.9017254389872,965.7000487641138,15553679049.39166,16142430.49863827,0.0001488817769264017
1688,2017-02-02,1006.841645077373,1010.6777811001884,975.0570148129424,986.2900529815744,15904265356.426752,16144396.28147066,0.00012177737624807783
1687,2017-02-03,1017.8201891052764,1023.0455857812274,992.0389725033413,1007.1874827631948,16252568197.09609,16146261.83473517,0.00011555422897124856
1686,2017-02-04,1032.9473770741952,1041.4721824183823,1001.2472137532392,1017.59993205295,16435212538.60222,16148064.97020231,0.00011167510384724189
1685,2017-02-05,1012.7252081851356,1037.1233409623617,1001.7878038633208,1035.1878305521643,16704688920.404842,16150054.95221738,0.00012323346597509222
1684,2017-02-06,1023.0819417816864,1030.0833698845229,1007.418118837376,1012.3736414832302,16350880833.32968,16151620.127422,9.691454358828899e-05
1683,2017-02-07,1052.7714971605578,1057.332127265573,1022.3046676209274,1023.8401075212196,16521750200.293213,16153510.33424789,0.00011702893028564532
1682,2017-02-08,1053.6609448986917,1069.8575860256333,1022.4556518133372,1052.9187536131872,17010636878.146448,16155338.11955258,0.00011315096637631861
1681,2017-02-09,986.3925919323208,1078.845846943875,938.9975471080564,1053.3644261859613,17059636538.145582,16157453.66069879,0.00013094997644458317
1680,2017-02-10,995.1167857449956,1006.1090837140885,951.8962882089132,986.504770313368,15942887053.508123,16159294.01328049,0.00011390115177478677
1679,2017-02-11,1008.9540087349192,1019.8600000042346,988.3339046598272,995.5329949991578,16076434716.465836,16161033.30376703,0.00010763406403202502
1678,2017-02-12,1003.0660300318808,1017.04,994.7752244515456,1007.3989617079326,16278224928.467396,16162784.99610605,0.00010838987248495968
1677,2017-02-13,999.4201663271466,1021.4133897632552,978.2717239456628,1003.4911709264042,16158727362.931965,16164824.57830352,0.00012619002219982356
1676,2017-02-14,1011.2410405238458,1021.595964309212,991.0763072079294,999.67605969562,16156326389.60618,16166939.93102931,0.00013086147118657188
1675,2017-02-15,1012.58376436671,1016.0776215031792,997.491253943706,1012.3347065741932,16366605943.580427,16168679.51492883,0.00010760130902576215
1674,2017-02-16,1037.1596247382793,1043.290608950358,1009.2917619936144,1012.3683916411246,16390541073.545313,16170569.66257196,0.00011690179407564116
1673,2017-02-17,1056.469170316454,1063.0926121399025,1034.1808208743655,1036.7109377537338,16760838952.983015,16172460.1609872,0.0001169098216506903
1672,2017-02-18,1061.3513677960714,1072.77,1053.4240598979009,1056.6257510444327,17089350431.18356,16174350.54646846,0.00011688917223739992
1671,2017-02-19,1052.670224926357,1067.78,1045.6910976990257,1060.2949015813936,17148251638.838566,16176027.3344284,0.00010366956961416207
1670,2017-02-20,1089.015265348404,1097.2292465008684,1044.764255966681,1052.594095957831,17089926928.651546,16177879.99688224,0.00011453136270955788
1669,2017-02-21,1129.218551076051,1131.9103072710711,1081.8496140894977,1088.834687687339,17624393309.59492,16179607.69645743,0.00010679394182200319
1668,2017-02-22,1128.0992584174355,1140.5303029531512,1105.4390291868306,1128.9177373625066,18241937038.47488,16181335.35140741,0.00010677977997941568
